id,category,image_context,prompt
1260,Home/DIY,photo of a cordless power drill,How would you clean this power drill without damaging the material?
1261,Coding,screenshot of a user profile card with avatar and bio,Identify the UI components in this profile card and list them as a JSON array for a design system.
1262,Nature/Biology,photo of a green fern plant,Describe the habitat where you would typically find this fern.
1263,OCR/Extraction,close-up of a FedEx shipping label with barcode,Extract the text from this shipping label and return it as {output_format}.
1264,Travel/Landmarks,photo of the Statue of Liberty in New York Harbor,What is the best time of year to visit Statue of Liberty to take a photo like this?
1265,Culinary/Food,photo of a grilled salmon fillet with asparagus,Write a mouth-watering instagram caption for this photo of grilled salmon.
1266,Travel/Landmarks,photo of Machu Picchu ruins in the Andes,Identify this landmark: Machu Picchu. Provide a 3-day itinerary for a trip here.
1267,Travel/Landmarks,photo of Big Ben and Parliament in London,What is the best time of year to visit Big Ben to take a photo like this?
1268,Education,chart showing nutritional food groups,Solve the problem shown in this food pyramid. Show your work step-by-step.
1269,Home/DIY,photo of a cracked window pane,How would you clean this broken window without damaging the material?
1270,OCR/Extraction,image of a professional resume/CV,Find the date and total amount in this resume. Return only these two values.
1271,Nature/Biology,photo of a green fern plant,Identify this fern. Is it poisonous or dangerous? Provide a scientific classification.
1272,Home/DIY,photo of a white shaker-style kitchen cabinet,How would you clean this kitchen cabinet without damaging the material?
1273,Home/DIY,photo of hardwood flooring with a scratch,How would you clean this wooden floor without damaging the material?
1274,Travel/Landmarks,photo of a traditional Japanese wooden shrine with cherry blossoms,What is the best time of year to visit Kyoto Shrine to take a photo like this?
1275,Data Analysis,image of a vertical bar chart comparing quarterly revenue,Analyze this bar chart. Summarize the key trend for a business executive.
1276,Coding,screenshot of a drag-and-drop kanban board with tasks,Identify the UI components in this kanban board and list them as a JSON array for a design system.
1277,OCR/Extraction,photo of an electricity bill with usage graphs,Find the date and total amount in this utility bill. Return only these two values.
1278,Home/DIY,photo of a large monstera plant in a ceramic pot,Look at this houseplant. What tools would I likely need to fix or restore it?
1279,OCR/Extraction,photo of a signed residential lease contract page,Find the date and total amount in this lease agreement. Return only these two values.
1280,Travel/Landmarks,photo of the Treasury at Petra carved into rock,Identify this landmark: Petra. Provide a 3-day itinerary for a trip here.
1281,Creative Writing,wide-angle photo of the Grand Canyon at sunset,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Grand Canyon.
1282,Coding,screenshot of a responsive top navigation bar with dropdown menus,Act as a frontend developer. Convert this navbar screenshot into production-ready {tech_stack}.
1283,Nature/Biology,photo of cumulonimbus clouds,Describe the habitat where you would typically find this cloud formation.
1284,Creative Writing,photo of a green fern plant,Describe this fern using only metaphors and similes.
1285,Home/DIY,photo of a large monstera plant in a ceramic pot,Identify the style of this houseplant. Suggest a color palette for a room that features this piece.
1286,OCR/Extraction,scan of a hospital bill with line items and insurance codes,Find the date and total amount in this medical invoice. Return only these two values.
1287,Culinary/Food,top-down photo of avocado toast with poached eggs,Identify the dish in this image of avocado toast. Estimate the calories and suggest a {dietary_restriction} alternative.
1288,Fashion/Style,photo of a rugged hiking backpack,Act as a stylist. Look at this backpack. What accessories would you pair with this for a formal event?
1289,Home/DIY,photo of a kitchen faucet dripping water,How would you clean this leaky faucet without damaging the material?
1290,Culinary/Food,photo of a classic pizza margherita with basil,I have these ingredients shown in the pizza margherita image. What spice should I add to elevate the flavor?
1291,Home/DIY,photo of a disorganized bookshelf filled with old books,Identify the style of this messy bookshelf. Suggest a color palette for a room that features this piece.
1292,Creative Writing,photo of the Colosseum in Rome,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Colosseum.
1293,Travel/Landmarks,photo of the Statue of Liberty in New York Harbor,What is the best time of year to visit Statue of Liberty to take a photo like this?
1294,Coding,screenshot of a user profile card with avatar and bio,Identify the UI components in this profile card and list them as a JSON array for a design system.
1295,Fashion/Style,photo of a stylish felt fedora hat,Is this fedora hat appropriate for a business casual office environment?
1296,Education,chart showing nutritional food groups,Act as a tutor. Explain the concept shown in this food pyramid to a history buff.
1297,Travel/Landmarks,photo of the Statue of Liberty in New York Harbor,Identify this landmark: Statue of Liberty. Provide a 3-day itinerary for a trip here.
1298,OCR/Extraction,photo of a sticky note with a to-do list in cursive ink,Extract the text from this handwritten note and return it as {output_format}.
1299,Education,"illustrated diagram showing evaporation, condensation, and precipitation",Solve the problem shown in this water cycle diagram. Show your work step-by-step.
1300,Culinary/Food,photo of three street tacos with salsa and lime,Identify the dish in this image of tacos. Estimate the calories and suggest a {dietary_restriction} alternative.
1301,Fashion/Style,photo of aviator sunglasses on a table,Is this sunglasses appropriate for a business casual office environment?
1302,Creative Writing,photo of a conch shell on the beach,Describe this seashell using only metaphors and similes.
1303,Home/DIY,photo of a rusty garden trowel,Look at this garden tool. What tools would I likely need to fix or restore it?
1304,Fashion/Style,photo of a beige wool trench coat,Is this winter coat appropriate for a business casual office environment?
1305,Data Analysis,image of a pie chart showing market share,Convert the data shown in this pie chart into a CSV format.
1306,Home/DIY,photo of a handmade blue ceramic vase,Look at this ceramic vase. What tools would I likely need to fix or restore it?
1307,Culinary/Food,close-up photo of a cheesy lasagna fresh out of the oven,Identify the dish in this image of homemade lasagna. Estimate the calories and suggest a {dietary_restriction} alternative.
1308,Nature/Biology,photo of a conch shell on the beach,Describe the habitat where you would typically find this seashell.
1309,Fashion/Style,photo of a brown leather vintage handbag,Identify the style and era of this vintage handbag. Where could I buy something similar today?
1310,Home/DIY,photo of a wooden mid-century modern chair,Identify the style of this mid-century chair. Suggest a color palette for a room that features this piece.
1311,Nature/Biology,close-up macro photo of a red mushroom in the forest,Identify this wild mushroom. Is it poisonous or dangerous? Provide a scientific classification.
1312,Coding,screenshot of a music player UI with album art and controls,Identify the UI components in this music player and list them as a JSON array for a design system.
1313,OCR/Extraction,photo of a sticky note with a to-do list in cursive ink,Extract the text from this handwritten note and return it as {output_format}.
1314,Culinary/Food,photo of a steaming bowl of ramen with egg and pork,Write a mouth-watering instagram caption for this photo of ramen bowl.
1315,Nature/Biology,underwater photo of colorful coral,Describe the habitat where you would typically find this coral reef.
1316,OCR/Extraction,photo of a laminated dinner menu,Extract the text from this restaurant menu and return it as {output_format}.
1317,Travel/Landmarks,photo of the Treasury at Petra carved into rock,Translate the signage visible in this photo of Petra into French and explain the cultural context.
1318,Fashion/Style,photo of a beige wool trench coat,Act as a stylist. Look at this winter coat. What accessories would you pair with this for a formal event?
1319,Travel/Landmarks,photo of the Sydney Opera House at night,Translate the signage visible in this photo of Sydney Opera House into Chinese and explain the cultural context.
1320,Creative Writing,photo of white houses with blue domes in Santorini,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Santorini.
1321,Fashion/Style,photo of a mannequin wearing a floral summer dress,Identify the style and era of this summer floral dress. Where could I buy something similar today?
1322,Home/DIY,photo of various blue paint swatches on a wall,Look at this wall paint swatches. What tools would I likely need to fix or restore it?
1323,Home/DIY,photo of hardwood flooring with a scratch,Look at this wooden floor. What tools would I likely need to fix or restore it?
1324,Nature/Biology,photo of a small green frog on a lily pad,Describe the habitat where you would typically find this frog.
1325,Creative Writing,photo of a large oak tree in a park,Describe this oak tree using only metaphors and similes.
1326,Data Analysis,image of a forex trading chart with indicators,Convert the data shown in this candlestick chart into a CSV format.
1327,Home/DIY,photo of a wooden mid-century modern chair,Identify the style of this mid-century chair. Suggest a color palette for a room that features this piece.
1328,OCR/Extraction,photo of an electricity bill with usage graphs,Extract the text from this utility bill and return it as {output_format}.
1329,Culinary/Food,photo of a vibrant sushi plate with wasabi and ginger,Identify the dish in this image of sushi platter. Estimate the calories and suggest a {dietary_restriction} alternative.
1330,Education,image of an old map of Europe from the 18th century,Create a quiz question based on the information in this historical map.
1331,Coding,screenshot of a minimal login form with email and password fields,Identify the UI components in this login screen and list them as a JSON array for a design system.
1332,OCR/Extraction,photo of a laminated dinner menu,Extract the text from this restaurant menu and return it as {output_format}.
1333,Education,chart showing nutritional food groups,Act as a tutor. Explain the concept shown in this food pyramid to a college student.
1334,Culinary/Food,photo of a steaming bowl of ramen with egg and pork,Write a mouth-watering instagram caption for this photo of ramen bowl.
1335,Culinary/Food,photo of an acai bowl with granola and banana,I have these ingredients shown in the smoothie bowl image. What spice should I add to elevate the flavor?
1336,Home/DIY,photo of various blue paint swatches on a wall,How would you clean this wall paint swatches without damaging the material?
1337,OCR/Extraction,photo of a concert ticket with QR code,Find the date and total amount in this event ticket. Return only these two values.
1338,Coding,screenshot of an e-commerce checkout flow with credit card inputs,Act as a frontend developer. Convert this checkout page screenshot into production-ready {tech_stack}.
1339,Travel/Landmarks,photo of Machu Picchu ruins in the Andes,Translate the signage visible in this photo of Machu Picchu into Arabic and explain the cultural context.
1340,Home/DIY,photo of a disorganized bookshelf filled with old books,Look at this messy bookshelf. What tools would I likely need to fix or restore it?
1341,Education,image of an old map of Europe from the 18th century,Create a quiz question based on the information in this historical map.
1342,Culinary/Food,photo of a classic pizza margherita with basil,Identify the dish in this image of pizza margherita. Estimate the calories and suggest a {dietary_restriction} alternative.
1343,Coding,screenshot of a user profile card with avatar and bio,Act as a frontend developer. Convert this profile card screenshot into production-ready {tech_stack}.
1344,Fashion/Style,photo of bright neon running shoes,Identify the style and era of this running shoes. Where could I buy something similar today?
1345,Fashion/Style,photo of red stiletto heels,Is this high heels appropriate for a business casual office environment?
1346,Data Analysis,image of a project timeline gantt chart,Convert the data shown in this gantt chart into a CSV format.
1347,Nature/Biology,photo of a green fern plant,Identify this fern. Is it poisonous or dangerous? Provide a scientific classification.
1348,Data Analysis,image of a color-coded correlation matrix heatmap,Analyze this heatmap. Summarize the key trend for a business executive.
1349,Culinary/Food,photo of a colorful wok filled with stir-fried vegetables,Write a mouth-watering instagram caption for this photo of vegetable stir-fry.
1350,Home/DIY,photo of a white shaker-style kitchen cabinet,Look at this kitchen cabinet. What tools would I likely need to fix or restore it?
1351,Creative Writing,photo of the Taj Mahal reflecting in the pool,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Taj Mahal.
1352,Education,diagram of the human skeletal system,Create a quiz question based on the information in this human skeleton.
1353,Creative Writing,photo of Mount Fuji with snow cap,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Mount Fuji.
1354,Coding,screenshot of a scientific calculator interface,Identify the UI components in this calculator app and list them as a JSON array for a design system.
1355,Culinary/Food,photo of a colorful wok filled with stir-fried vegetables,Identify the dish in this image of vegetable stir-fry. Estimate the calories and suggest a {dietary_restriction} alternative.
1356,Culinary/Food,photo of a slice of rich chocolate cake on a white plate,Write a mouth-watering instagram caption for this photo of chocolate cake.
1357,Coding,screenshot of a music player UI with album art and controls,Identify the UI components in this music player and list them as a JSON array for a design system.
1358,Culinary/Food,photo of a slice of rich chocolate cake on a white plate,Identify the dish in this image of chocolate cake. Estimate the calories and suggest a {dietary_restriction} alternative.
1359,Nature/Biology,photo of a saguaro cactus in the desert,Identify this cactus. Is it poisonous or dangerous? Provide a scientific classification.
1360,Home/DIY,photo of a coffee stain on a beige carpet,Look at this stained carpet. What tools would I likely need to fix or restore it?
1361,Fashion/Style,photo of a stylish felt fedora hat,Is this fedora hat appropriate for a business casual office environment?
1362,Travel/Landmarks,photo of the Pyramids of Giza in the desert,Translate the signage visible in this photo of Pyramids of Giza into Italian and explain the cultural context.
1363,Fashion/Style,photo of black leggings/yoga pants,Identify the style and era of this yoga pants. Where could I buy something similar today?
1364,Coding,screenshot of a weather widget showing temperature and forecast,Act as a frontend developer. Convert this weather widget screenshot into production-ready {tech_stack}.
1365,Data Analysis,image of a sales funnel conversion chart,Analyze this funnel chart. Summarize the key trend for a business executive.
1366,Fashion/Style,photo of bright neon running shoes,Identify the style and era of this running shoes. Where could I buy something similar today?
1367,Coding,screenshot of a weather widget showing temperature and forecast,Act as a frontend developer. Convert this weather widget screenshot into production-ready {tech_stack}.
1368,Fashion/Style,photo of a beige wool trench coat,Is this winter coat appropriate for a business casual office environment?
1369,Travel/Landmarks,wide-angle photo of the Grand Canyon at sunset,What is the best time of year to visit Grand Canyon to take a photo like this?
1370,Creative Writing,photo of the Colosseum in Rome,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Colosseum.
1371,Education,diagram explaining the process of photosynthesis,Solve the problem shown in this photosynthesis. Show your work step-by-step.
1372,Coding,screenshot of a weather widget showing temperature and forecast,Identify the UI components in this weather widget and list them as a JSON array for a design system.
1373,Culinary/Food,photo of a gourmet burger with fries,I have these ingredients shown in the burger image. What spice should I add to elevate the flavor?
1374,Home/DIY,photo of a disorganized bookshelf filled with old books,Look at this messy bookshelf. What tools would I likely need to fix or restore it?
1375,Culinary/Food,photo of a classic pizza margherita with basil,I have these ingredients shown in the pizza margherita image. What spice should I add to elevate the flavor?
1376,Travel/Landmarks,photo of Big Ben and Parliament in London,What is the best time of year to visit Big Ben to take a photo like this?
1377,Education,map showing earth's tectonic plates,Solve the problem shown in this tectonic plates. Show your work step-by-step.
1378,Travel/Landmarks,photo of Machu Picchu ruins in the Andes,Translate the signage visible in this photo of Machu Picchu into Spanish and explain the cultural context.
1379,OCR/Extraction,photo of a sticky note with a to-do list in cursive ink,Find the date and total amount in this handwritten note. Return only these two values.
1380,Education,chart showing nutritional food groups,Create a quiz question based on the information in this food pyramid.
1381,OCR/Extraction,close-up of a FedEx shipping label with barcode,Extract the text from this shipping label and return it as {output_format}.
1382,Education,image of an old map of Europe from the 18th century,Act as a tutor. Explain the concept shown in this historical map to a tourist.
1383,Data Analysis,image of a scatter plot showing distribution of customer ages,Analyze this scatter plot. Summarize the key trend for a business executive.
1384,Travel/Landmarks,photo of the Statue of Liberty in New York Harbor,Translate the signage visible in this photo of Statue of Liberty into Russian and explain the cultural context.
1385,Coding,screenshot of a drag-and-drop kanban board with tasks,Act as a frontend developer. Convert this kanban board screenshot into production-ready {tech_stack}.
1386,Nature/Biology,photo of a blooming yellow rose in a garden,Describe the habitat where you would typically find this garden flower.
1387,Fashion/Style,photo of red stiletto heels,Identify the style and era of this high heels. Where could I buy something similar today?
1388,Coding,screenshot of an e-commerce checkout flow with credit card inputs,Identify the UI components in this checkout page and list them as a JSON array for a design system.
1389,Coding,screenshot of a modal window with toggle switches for privacy settings,Identify the UI components in this settings modal and list them as a JSON array for a design system.
1390,Culinary/Food,photo of a classic pizza margherita with basil,Write a mouth-watering instagram caption for this photo of pizza margherita.
1391,Culinary/Food,photo of a fresh fruit salad with melon and berries,I have these ingredients shown in the fruit salad image. What spice should I add to elevate the flavor?
1392,Data Analysis,image of a histogram showing frequency distribution,Convert the data shown in this histogram into a CSV format.
1393,Travel/Landmarks,photo of the Great Wall winding through mountains,Identify this landmark: Great Wall of China. Provide a 3-day itinerary for a trip here.
1394,Home/DIY,photo of a brass tiffany-style lamp,How would you clean this antique lamp without damaging the material?
1395,Coding,screenshot of a dark-mode analytics widget showing user retention stats,Identify the UI components in this dashboard widget and list them as a JSON array for a design system.
1396,Education,diagram of the planets orbiting the sun,Solve the problem shown in this solar system model. Show your work step-by-step.
1397,Travel/Landmarks,photo of a traditional Japanese wooden shrine with cherry blossoms,Identify this landmark: Kyoto Shrine. Provide a 3-day itinerary for a trip here.
1398,Travel/Landmarks,photo of a traditional Japanese wooden shrine with cherry blossoms,Identify this landmark: Kyoto Shrine. Provide a 3-day itinerary for a trip here.
1399,Creative Writing,underwater photo of colorful coral,Describe this coral reef using only metaphors and similes.
1400,Creative Writing,photo of Mount Fuji with snow cap,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Mount Fuji.
1401,Nature/Biology,close-up macro photo of a red mushroom in the forest,Describe the habitat where you would typically find this wild mushroom.
1402,Culinary/Food,photo of three street tacos with salsa and lime,Write a mouth-watering instagram caption for this photo of tacos.
1403,Education,image of an old map of Europe from the 18th century,Create a quiz question based on the information in this historical map.
1404,Culinary/Food,photo of three street tacos with salsa and lime,Identify the dish in this image of tacos. Estimate the calories and suggest a {dietary_restriction} alternative.
1405,Nature/Biology,night sky photo showing the Orion constellation,Identify this constellation. Is it poisonous or dangerous? Provide a scientific classification.
1406,Home/DIY,photo of a brass tiffany-style lamp,Identify the style of this antique lamp. Suggest a color palette for a room that features this piece.
1407,Culinary/Food,photo of a grilled salmon fillet with asparagus,I have these ingredients shown in the grilled salmon image. What spice should I add to elevate the flavor?
1408,Home/DIY,photo of a cracked window pane,How would you clean this broken window without damaging the material?
1409,Coding,screenshot of a user profile card with avatar and bio,Act as a frontend developer. Convert this profile card screenshot into production-ready {tech_stack}.
1410,Coding,screenshot of a minimal login form with email and password fields,Identify the UI components in this login screen and list them as a JSON array for a design system.
1411,Coding,screenshot of a user profile card with avatar and bio,Identify the UI components in this profile card and list them as a JSON array for a design system.
1412,Travel/Landmarks,photo of the Taj Mahal reflecting in the pool,What is the best time of year to visit Taj Mahal to take a photo like this?
1413,Culinary/Food,photo of three street tacos with salsa and lime,I have these ingredients shown in the tacos image. What spice should I add to elevate the flavor?
1414,Data Analysis,image of a color-coded correlation matrix heatmap,Convert the data shown in this heatmap into a CSV format.
1415,Culinary/Food,photo of a flaky croissant on a bakery shelf,Identify the dish in this image of croissant. Estimate the calories and suggest a {dietary_restriction} alternative.
1416,Culinary/Food,photo of three street tacos with salsa and lime,Identify the dish in this image of tacos. Estimate the calories and suggest a {dietary_restriction} alternative.
1417,Creative Writing,photo of a small green frog on a lily pad,Describe this frog using only metaphors and similes.
1418,Data Analysis,image of a project timeline gantt chart,Analyze this gantt chart. Summarize the key trend for a business executive.
1419,Fashion/Style,photo of a pair of distressed blue jeans,Identify the style and era of this denim jeans. Where could I buy something similar today?
1420,Data Analysis,image of a vertical bar chart comparing quarterly revenue,Analyze this bar chart. Summarize the key trend for a business executive.
1421,Culinary/Food,photo of three street tacos with salsa and lime,Write a mouth-watering instagram caption for this photo of tacos.
1422,OCR/Extraction,photo of a sticky note with a to-do list in cursive ink,Find the date and total amount in this handwritten note. Return only these two values.
1423,Education,visual chart showing fraction equivalents,Solve the problem shown in this fraction chart. Show your work step-by-step.
1424,Fashion/Style,photo of a rugged hiking backpack,Identify the style and era of this backpack. Where could I buy something similar today?
1425,Travel/Landmarks,photo of the Eiffel Tower in Paris against a blue sky,What is the best time of year to visit Eiffel Tower to take a photo like this?
1426,Nature/Biology,close-up macro photo of a red mushroom in the forest,Identify this wild mushroom. Is it poisonous or dangerous? Provide a scientific classification.
1427,Creative Writing,wide-angle photo of the Grand Canyon at sunset,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Grand Canyon.
1428,Nature/Biology,photo of a spider web with dew drops,Describe the habitat where you would typically find this spider web.
1429,Data Analysis,image of a scatter plot showing distribution of customer ages,Analyze this scatter plot. Summarize the key trend for a business executive.
1430,Culinary/Food,photo of a bowl of chicken curry with rice,Identify the dish in this image of curry. Estimate the calories and suggest a {dietary_restriction} alternative.
1431,Fashion/Style,photo of a mannequin wearing a floral summer dress,Act as a stylist. Look at this summer floral dress. What accessories would you pair with this for a formal event?
1432,Education,scan of a piano sheet music page,Create a quiz question based on the information in this sheet music.
1433,Creative Writing,photo of a monarch butterfly on a flower,Describe this butterfly using only metaphors and similes.
1434,Creative Writing,photo of a saguaro cactus in the desert,Describe this cactus using only metaphors and similes.
1435,Fashion/Style,photo of a rugged hiking backpack,Is this backpack appropriate for a business casual office environment?
1436,Data Analysis,image of a project timeline gantt chart,Analyze this gantt chart. Summarize the key trend for a business executive.
1437,Travel/Landmarks,photo of the Colosseum in Rome,Identify this landmark: Colosseum. Provide a 3-day itinerary for a trip here.
1438,Home/DIY,photo of a brass tiffany-style lamp,Look at this antique lamp. What tools would I likely need to fix or restore it?
1439,Travel/Landmarks,photo of white houses with blue domes in Santorini,What is the best time of year to visit Santorini to take a photo like this?
1440,Culinary/Food,photo of a colorful wok filled with stir-fried vegetables,I have these ingredients shown in the vegetable stir-fry image. What spice should I add to elevate the flavor?
1441,Fashion/Style,photo of a mannequin wearing a floral summer dress,Identify the style and era of this summer floral dress. Where could I buy something similar today?
1442,Travel/Landmarks,photo of the Great Wall winding through mountains,Translate the signage visible in this photo of Great Wall of China into Japanese and explain the cultural context.
1443,Travel/Landmarks,photo of Big Ben and Parliament in London,What is the best time of year to visit Big Ben to take a photo like this?
1444,Travel/Landmarks,photo of the Great Wall winding through mountains,Translate the signage visible in this photo of Great Wall of China into Hindi and explain the cultural context.
1445,Culinary/Food,photo of a fancy cocktail with a garnish on a bar counter,Write a mouth-watering instagram caption for this photo of cocktail.
1446,Coding,screenshot of a modal window with toggle switches for privacy settings,Identify the UI components in this settings modal and list them as a JSON array for a design system.
1447,Education,schematic diagram of a simple electrical circuit,Act as a tutor. Explain the concept shown in this circuit diagram to a tourist.
1448,Creative Writing,close-up macro photo of a red mushroom in the forest,Describe this wild mushroom using only metaphors and similes.
1449,Travel/Landmarks,wide-angle photo of the Grand Canyon at sunset,Identify this landmark: Grand Canyon. Provide a 3-day itinerary for a trip here.
1450,Culinary/Food,photo of a colorful wok filled with stir-fried vegetables,Write a mouth-watering instagram caption for this photo of vegetable stir-fry.
1451,Culinary/Food,photo of three street tacos with salsa and lime,Write a mouth-watering instagram caption for this photo of tacos.
1452,Culinary/Food,photo of a colorful wok filled with stir-fried vegetables,Identify the dish in this image of vegetable stir-fry. Estimate the calories and suggest a {dietary_restriction} alternative.
1453,Home/DIY,photo of a wooden mid-century modern chair,Look at this mid-century chair. What tools would I likely need to fix or restore it?
1454,Home/DIY,photo of hardwood flooring with a scratch,How would you clean this wooden floor without damaging the material?
1455,Data Analysis,image of a sales funnel conversion chart,Convert the data shown in this funnel chart into a CSV format.
1456,Education,map showing earth's tectonic plates,Solve the problem shown in this tectonic plates. Show your work step-by-step.
1457,Culinary/Food,photo of a gourmet burger with fries,Write a mouth-watering instagram caption for this photo of burger.
1458,OCR/Extraction,scan of a hospital bill with line items and insurance codes,Find the date and total amount in this medical invoice. Return only these two values.
1459,Travel/Landmarks,photo of the Pyramids of Giza in the desert,Identify this landmark: Pyramids of Giza. Provide a 3-day itinerary for a trip here.
1460,Education,schematic diagram of a simple electrical circuit,Create a quiz question based on the information in this circuit diagram.
1461,Creative Writing,macro photo of a colorful beetle on a leaf,Describe this strange insect using only metaphors and similes.
1462,Education,labeled diagram of an animal cell,Create a quiz question based on the information in this cell structure.
1463,Education,schematic diagram of a simple electrical circuit,Create a quiz question based on the information in this circuit diagram.
1464,Education,chart showing nutritional food groups,Create a quiz question based on the information in this food pyramid.
1465,Nature/Biology,photo of a small green frog on a lily pad,Describe the habitat where you would typically find this frog.
1466,Travel/Landmarks,photo of the Great Wall winding through mountains,What is the best time of year to visit Great Wall of China to take a photo like this?
1467,Creative Writing,photo of a large oak tree in a park,Describe this oak tree using only metaphors and similes.
1468,Creative Writing,photo of the Taj Mahal reflecting in the pool,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Taj Mahal.
1469,Coding,screenshot of an e-commerce checkout flow with credit card inputs,Identify the UI components in this checkout page and list them as a JSON array for a design system.
1470,OCR/Extraction,photo of an electricity bill with usage graphs,Find the date and total amount in this utility bill. Return only these two values.
1471,Education,image of an old map of Europe from the 18th century,Solve the problem shown in this historical map. Show your work step-by-step.
1472,Creative Writing,photo of a mountain goat on a cliff,Describe this mountain goat using only metaphors and similes.
1473,Data Analysis,image of a sales funnel conversion chart,Convert the data shown in this funnel chart into a CSV format.
1474,Home/DIY,photo of a kitchen faucet dripping water,Identify the style of this leaky faucet. Suggest a color palette for a room that features this piece.
1475,Nature/Biology,close-up macro photo of a red mushroom in the forest,Describe the habitat where you would typically find this wild mushroom.
1476,Coding,screenshot of a minimal login form with email and password fields,Identify the UI components in this login screen and list them as a JSON array for a design system.
1477,Nature/Biology,photo of a blue jay perched on a tree branch,Identify this bird. Is it poisonous or dangerous? Provide a scientific classification.
1478,Home/DIY,photo of a modern ceiling fan,Identify the style of this ceiling fan. Suggest a color palette for a room that features this piece.
1479,Fashion/Style,close-up photo of a luxury mechanical wristwatch,Identify the style and era of this wristwatch. Where could I buy something similar today?
1480,OCR/Extraction,scan of a hospital bill with line items and insurance codes,Find the date and total amount in this medical invoice. Return only these two values.
1481,Fashion/Style,photo of a brown leather vintage handbag,Act as a stylist. Look at this vintage handbag. What accessories would you pair with this for a formal event?
1482,OCR/Extraction,scan of a passport data page (synthetic/redacted),Extract the text from this passport and return it as {output_format}.
1483,Culinary/Food,photo of a colorful wok filled with stir-fried vegetables,I have these ingredients shown in the vegetable stir-fry image. What spice should I add to elevate the flavor?
1484,Home/DIY,photo of a cracked window pane,Look at this broken window. What tools would I likely need to fix or restore it?
1485,Travel/Landmarks,photo of the Sydney Opera House at night,Translate the signage visible in this photo of Sydney Opera House into Spanish and explain the cultural context.
1486,Education,scan of a piano sheet music page,Solve the problem shown in this sheet music. Show your work step-by-step.
1487,Education,"illustrated diagram showing evaporation, condensation, and precipitation",Solve the problem shown in this water cycle diagram. Show your work step-by-step.
1488,Coding,screenshot of a modal window with toggle switches for privacy settings,Act as a frontend developer. Convert this settings modal screenshot into production-ready {tech_stack}.
1489,Culinary/Food,photo of a steaming bowl of ramen with egg and pork,Write a mouth-watering instagram caption for this photo of ramen bowl.
1490,Education,schematic diagram of a simple electrical circuit,Create a quiz question based on the information in this circuit diagram.
1491,Creative Writing,night sky photo showing the Orion constellation,Describe this constellation using only metaphors and similes.
1492,Fashion/Style,photo of a knitted wool scarf,Identify the style and era of this scarf. Where could I buy something similar today?
1493,Travel/Landmarks,photo of the Pyramids of Giza in the desert,What is the best time of year to visit Pyramids of Giza to take a photo like this?
1494,Culinary/Food,photo of a steaming bowl of ramen with egg and pork,Identify the dish in this image of ramen bowl. Estimate the calories and suggest a {dietary_restriction} alternative.
1495,Home/DIY,photo of a disorganized bookshelf filled with old books,How would you clean this messy bookshelf without damaging the material?
1496,Nature/Biology,photo of a blue jay perched on a tree branch,Identify this bird. Is it poisonous or dangerous? Provide a scientific classification.
1497,Data Analysis,image of a pie chart showing market share,Analyze this pie chart. Summarize the key trend for a business executive.
1498,Culinary/Food,photo of a steaming bowl of ramen with egg and pork,Write a mouth-watering instagram caption for this photo of ramen bowl.
1499,Home/DIY,photo of a handmade blue ceramic vase,How would you clean this ceramic vase without damaging the material?
1500,OCR/Extraction,close-up of a FedEx shipping label with barcode,Extract the text from this shipping label and return it as {output_format}.
1501,OCR/Extraction,scan of a hospital bill with line items and insurance codes,Find the date and total amount in this medical invoice. Return only these two values.
1502,Coding,screenshot of a drag-and-drop kanban board with tasks,Identify the UI components in this kanban board and list them as a JSON array for a design system.
1503,Nature/Biology,photo of a blue jay perched on a tree branch,Identify this bird. Is it poisonous or dangerous? Provide a scientific classification.
1504,Fashion/Style,photo of a mannequin wearing a floral summer dress,Identify the style and era of this summer floral dress. Where could I buy something similar today?
1505,Culinary/Food,close-up photo of a cheesy lasagna fresh out of the oven,Identify the dish in this image of homemade lasagna. Estimate the calories and suggest a {dietary_restriction} alternative.
1506,Creative Writing,photo of a blue jay perched on a tree branch,Describe this bird using only metaphors and similes.
1507,Culinary/Food,photo of a classic pizza margherita with basil,I have these ingredients shown in the pizza margherita image. What spice should I add to elevate the flavor?
1508,Travel/Landmarks,wide-angle photo of the Grand Canyon at sunset,Identify this landmark: Grand Canyon. Provide a 3-day itinerary for a trip here.
1509,Nature/Biology,photo of a blue jay perched on a tree branch,Identify this bird. Is it poisonous or dangerous? Provide a scientific classification.
1510,Home/DIY,photo of a modern ceiling fan,How would you clean this ceiling fan without damaging the material?
1511,OCR/Extraction,photo of a concert ticket with QR code,Find the date and total amount in this event ticket. Return only these two values.
1512,Data Analysis,image of a line graph showing stock price trends,Analyze this line graph. Summarize the key trend for a business executive.
1513,Nature/Biology,macro photo of a colorful beetle on a leaf,Identify this strange insect. Is it poisonous or dangerous? Provide a scientific classification.
